# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Fri Nov 10 22:32:34 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denslim:     Planet Density Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance Upper Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance Lower Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_distlim:     Distance Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN gaia_gmag:      G-band (Gaia) [mag],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teffblend:   Effective Temperature Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN rowupdate:      Date of Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_locale:      Discovery Locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_mnum:        Number of Moons in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlx:       X-ray Activity log(L<sub>x</sub>),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlxerr:    X-ray Activity log(L<sub>x</sub>) Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlxlim:    X-ray Activity log(L<sub>x</sub>) Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlxblend:  X-ray Activity log(L<sub>x</sub>) Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,rowupdate,pl_name,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_locale,pl_mnum,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend
1,11 Com,b,1,326.03,0.32,-0.32,0,,,,,110.62,9.61,-11.63,0,,,,4742,100,-100,0,0,2.7,0.3,-0.3,0,0,5/14/2014,11 Com b,,,,,,,,,Ground,0,,,,
2,11 UMi,b,1,516.22,3.25,-3.25,0,,,,,119.47,6.22,-6.95,0,4.723,,0,4340,70,-70,0,0,1.8,0.25,-0.25,0,0,5/14/2014,11 UMi b,,,,,,,,,Ground,0,,,,
3,14 And,b,1,185.84,0.23,-0.23,0,,,,,76.39,3.93,-4.38,0,,,,4813,20,-20,0,0,2.2,0.1,-0.2,0,0,5/14/2014,14 And b,,,,,,,,,Ground,0,,,,
4,14 Her,b,1,1773.4,2.5,-2.5,0,,,,,18.15,0.19,-0.2,0,6.325,,0,5311,87,-87,0,0,0.9,0.05,-0.05,0,0,5/14/2014,14 Her b,,,,,,,,,Ground,0,,,,
5,16 Cyg B,b,1,798.5,1,-1,0,,,,,21.41,0.23,-0.23,0,6.021,,0,5674,,,0,0,0.99,,,0,0,9/10/2015,16 Cyg B b,,,,,,,,,Ground,0,,,,
6,18 Del,b,1,993.3,3.2,-3.2,0,,,,,73.1,3.56,-3.94,0,,,,4979,18,-18,0,0,2.3,,,0,0,5/14/2014,18 Del b,,,,,,,,,Ground,0,,,,
7,1RXS J160929.1-210524,b,1,,,,,,,,,145,14,-14,0,,,,4060,300,-200,0,0,0.85,0.2,-0.1,0,0,4/1/2015,1RXS J160929.1-210524 b,3000,300,-300,0,,,,,Ground,0,,,,
8,24 Sex,b,2,452.8,2.1,-4.5,0,,,,,74.79,4.57,-5.21,0,,,,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,5/14/2014,24 Sex b,,,,,,,,,Ground,0,,,,
9,24 Sex,c,2,883,32.4,-13.8,0,,,,,74.79,4.57,-5.21,0,,,,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,5/14/2014,24 Sex c,,,,,,,,,Ground,0,,,,
10,2MASS J01225093-2439505,b,1,,,,,,,,,36,4,-4,0,,,,3530,50,-50,0,0,0.4,0.05,-0.05,0,0,5/14/2014,2MASS J01225093-2439505 b,7786.5,794.5,-794.5,0,,,,,Ground,0,,,,
11,2MASS J02192210-3925225,b,1,,,,,,,,,39.4,2.6,-2.6,0,,,,3064,76,-76,0,0,0.11,0.01,-0.01,0,0,5/14/2015,2MASS J02192210-3925225 b,4417.837,349.613,-349.613,0,16.141,0.336,-0.336,0,Ground,0,,,,
12,2MASS J04414489+2301513,b,1,,,,,,,,,140,,,0,,,,,,,,,0.02,,,0,0,5/14/2014,2MASS J04414489+2301513 b,2383.6,794.5,-794.5,0,,,,,Space,0,,,,
13,2MASS J12073346-3932539,b,1,,,,,,,,,52.4,1.1,-1.1,0,,,,,,,,,0.02,,,0,0,5/14/2014,2MASS J12073346-3932539 b,1271,318,-318,0,,,,,Ground,0,,,,
14,2MASS J19383260+4603591,b,1,416,2,-2,0,,,,,,,,,,,,,,,,0,0.48,0.03,-0.03,0,0,6/4/2015,2MASS J19383260+4603591 b,603.877,31.783,-31.783,0,,,,,Space,0,,,,
15,2MASS J21402931+1625183 A,b,1,7336.5,1934.5,-584,0,,,,,25,10,-10,0,,,,2300,80,-80,0,0,0.08,0.06,-0.06,0,0,5/14/2014,2MASS J21402931+1625183 A b,6657.48,26629.91,-6657.48,0,10.31,4.37,-4.04,0,Ground,0,,,,
16,2MASS J22362452+4751425,b,1,,,,,,,,,74,10,-10,0,,,,4045,35,-35,0,0,0.6,0.05,-0.05,0,0,11/10/2016,2MASS J22362452+4751425 b,3972.875,476.745,-476.745,0,,,,,Ground,0,,,,
17,30 Ari B,b,1,335.1,2.5,-2.5,0,,,,,39.43,1.64,-1.79,0,6.938,,0,6300,60,-60,0,0,1.16,0.04,-0.04,0,0,5/14/2014,30 Ari B b,,,,,,,,,Ground,0,29.86,,0,1
18,4 UMa,b,1,269.3,1.96,-1.96,0,,,,,77.4,4.03,-4.5,0,,,,4415,70,-70,0,0,1.23,0.15,-0.15,0,0,5/14/2014,4 UMa b,,,,,,,,,Ground,0,,,,
19,42 Dra,b,1,479.1,6.2,-6.2,0,,,,,97.28,4.34,-4.76,0,,,,4200,70,-70,0,0,0.98,0.05,-0.05,0,0,5/14/2014,42 Dra b,,,,,,,,,Ground,0,,,,
20,47 UMa,b,3,1078,2,-2,0,,,,,14.08,0.13,-0.13,0,,,,5892,70,-70,0,0,1.03,0.05,-0.05,0,0,5/14/2014,47 UMa b,,,,,,,,,Ground,0,,,,
21,47 UMa,c,3,2391,100,-87,0,,,,,14.08,0.13,-0.13,0,,,,5892,70,-70,0,0,1.03,0.05,-0.05,0,0,5/14/2014,47 UMa c,,,,,,,,,Ground,0,,,,
22,47 UMa,d,3,14002,4018,-5095,0,,,,,14.08,0.13,-0.13,0,,,,5892,70,-70,0,0,1.03,0.05,-0.05,0,0,5/14/2014,47 UMa d,,,,,,,,,Ground,0,,,,
23,51 Eri,b,1,,,,0,,,,,29.4,0.3,-0.3,0,,,,,,,,0,1.75,0.05,-0.05,0,0,8/14/2015,51 Eri b,635.66,,,0,,,,,Ground,0,30.12,,0,0
24,51 Peg,b,1,4.230785,0.000036,-0.000036,0,,,,,15.36,0.18,-0.18,0,,,,5793,70,-70,0,0,1.12,0.06,-0.06,0,0,5/14/2014,51 Peg b,,,,,,,,,Ground,0,,,,
25,55 Cnc,b,5,14.65152,0.00015,-0.00015,0,,,,,12.53,0.13,-0.13,0,,,,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,10/29/2014,55 Cnc b,263.9785,1.0488,-1.0488,0,,,,,Ground,0,27.74,,1,0
26,55 Cnc,c,5,44.4175,0.0073,-0.0073,0,,,,,12.53,0.13,-0.13,0,,,,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,10/29/2014,55 Cnc c,54.4738,1.748,-1.748,0,,,,,Ground,0,27.74,,1,0
27,55 Cnc,d,5,4825,39,-39,0,,,,,12.53,0.13,-0.13,0,,,,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,10/29/2014,55 Cnc d,1232.493,21.612,-21.612,0,,,,,Ground,0,27.74,,1,0
28,55 Cnc,e,5,0.736539,0.000007,-0.000007,0,6.4,0.8,-0.7,0,12.53,0.13,-0.13,0,,,,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,7/7/2016,55 Cnc e,8.08,0.31,-0.31,0,1.91,0.08,-0.08,0,Ground,0,27.74,,1,0
29,55 Cnc,f,5,262,0.51,-0.51,0,,,,,12.53,0.13,-0.13,0,,,,5196,24,-24,0,0,0.91,0.01,-0.01,0,0,10/29/2014,55 Cnc f,44.812,3.814,-3.814,0,,,,,Ground,0,27.74,,1,0
30,6 Lyn,b,1,874.774,16.27,-8.47,0,,,,,56.95,2.36,-2.58,0,,,,4978,18,-18,0,0,1.7,0.1,-0.2,0,0,9/3/2015,6 Lyn b,,,,,,,,,Ground,0,,,,
31,61 Vir,b,3,4.215,0.0006,-0.0006,0,,,,,8.52,0.05,-0.05,0,,,,5577,33,-33,0,0,0.94,0.03,-0.03,0,0,5/14/2014,61 Vir b,,,,,,,,,Ground,0,26.87,,1,0
32,61 Vir,c,3,38.021,0.034,-0.034,0,,,,,8.52,0.05,-0.05,0,,,,5577,33,-33,0,0,0.94,0.03,-0.03,0,0,5/14/2014,61 Vir c,,,,,,,,,Ground,0,26.87,,1,0
33,61 Vir,d,3,123.01,0.55,-0.55,0,,,,,8.52,0.05,-0.05,0,,,,5577,33,-33,0,0,0.94,0.03,-0.03,0,0,5/14/2014,61 Vir d,,,,,,,,,Ground,0,26.87,,1,0
34,7 CMa,b,1,796,7.4,-7.4,0,,,,,19.84,0.27,-0.28,0,,,,4792,100,-100,0,0,1.52,0.3,-0.3,0,0,10/22/2015,7 CMa b,,,,,,,,,Ground,0,,,,
35,70 Vir,b,1,116.6926,0.0014,-0.0014,0,,,,,18.11,0.24,-0.24,0,4.867,,0,5439,44,-44,0,0,1.09,0.02,-0.02,0,0,4/24/2015,70 Vir b,,,,,,,,,Ground,0,,,,
36,75 Cet,b,1,691.9,3.6,-3.6,0,,,,,81.5,6.87,-8.27,0,,,,4846,18,-18,0,0,2.49,0.02,-0.27,0,0,9/3/2015,75 Cet b,,,,,,,,,Ground,0,,,,
37,8 UMi,b,1,93.4,4.5,-4.5,0,,,,,159.1,11,-11,0,6.494,,0,4847.4,7.5,-7.5,0,0,1.8,0.1,-0.1,0,0,10/15/2015,8 UMi b,,,,,,,,,Ground,0,,,,
38,81 Cet,b,1,952.7,8.8,-8.8,0,,,,,97.18,8.37,-10.11,0,,,,4785,25,-25,0,0,2.4,0.1,-0.4,0,0,5/14/2014,81 Cet b,,,,,,,,,Ground,0,,,,
39,91 Aqr,b,1,181.4,0.1,-0.1,0,,,,,45.52,1.77,-1.92,0,,,,4665,18,-18,0,0,1.4,0.1,-0.1,0,0,5/14/2014,91 Aqr b,,,,,,,,,Ground,0,,,,
40,AB Pic,b,1,,,,,,,,,45.52,1.64,-1.76,0,8.776,,0,,,,,0,,,,,0,5/14/2014,AB Pic b,4290.5,158.9,-158.9,0,,,,,Ground,0,,,,
41,BD+03 2562,b,1,481.9,2.7,-2.8,0,,,,,2618,564,-564,0,,,,4095,20,-20,0,0,1.14,0.25,-0.25,0,0,6/15/2017,BD+03 2562 b,,,,,,,,,Ground,0,,,,
42,BD+14 4559,b,1,268.94,0.99,-0.99,0,,,,,50.03,3.73,-4.38,0,9.27,,0,5008,20,-20,0,0,0.86,0.15,-0.15,0,0,5/14/2014,BD+14 4559 b,,,,,,,,,Ground,0,,,,
43,BD+15 2375,b,1,153.22,0.44,-0.44,0,,,,,774,165,-165,0,9.912,,0,4649,30,-30,0,0,1.08,0.14,-0.14,0,0,2/4/2016,BD+15 2375 b,,,,,,,,,Ground,0,,,,
44,BD+15 2940,b,1,137.48,0.34,-0.34,0,,,,,175.44,,,-1,8.651,,0,4796,117,-117,0,0,1.1,0.2,-0.2,0,0,5/14/2014,BD+15 2940 b,,,,,,,,,Ground,0,,,,
45,BD+20 1790,b,1,7.78287,0.00077,-0.00076,0,,,,,25.4,4,-4,0,9.369,,0,4410,,,0,0,0.63,0.09,-0.09,0,0,3/26/2015,BD+20 1790 b,,,,,,,,,Ground,0,,,,
46,BD+20 2457,b,2,379.63,2.01,-2.01,0,,,,,,,,,9.12,,0,4137,10,-10,0,0,2.8,1.5,-1.5,0,0,5/14/2014,BD+20 2457 b,,,,,,,,,Ground,0,,,,
47,BD+20 2457,c,2,621.99,10.2,-10.2,0,,,,,,,,,9.12,,0,4137,10,-10,0,0,2.8,1.5,-1.5,0,0,5/14/2014,BD+20 2457 c,,,,,,,,,Ground,0,,,,
48,BD+20 274,b,1,578.2,5.4,-5.4,0,,,,,,,,,8.811,,0,4296,10,-10,0,0,0.8,0.2,-0.2,0,0,9/18/2015,BD+20 274 b,,,,,,,,,Ground,0,,,,
49,BD+20 594,b,1,41.6855,0.003,-0.0031,0,7.89,3.4,-3.1,0,152.1,9.7,-7.4,0,10.794,,0,5766,99,-99,0,0,0.96,0.03,-0.03,0,0,7/28/2016,BD+20 594 b,16.3,6,-6.1,0,2.23,0.14,-0.11,0,Space,0,,,,
50,BD+48 738,b,1,392.6,5.5,-5.5,0,,,,,,,,,,,,4414,15,-15,0,0,0.74,0.39,-0.39,0,0,8/13/2015,BD+48 738 b,,,,,,,,,Ground,0,,,,
51,BD+49 828,b,1,2590,300,-180,0,,,,,,,,,8.934,,0,4943,30,-30,0,0,1.52,0.22,-0.22,0,0,2/5/2015,BD+49 828 b,,,,,,,,,Ground,0,,,,
52,BD-06 1339,b,2,3.8728,0.0004,-0.0004,0,,,,,20.1,0.65,-0.69,0,8.999,,0,4324,100,-100,0,0,0.7,,,0,0,5/14/2014,BD-06 1339 b,,,,,,,,,Ground,0,,,,
53,BD-06 1339,c,2,125.94,0.44,-0.44,0,,,,,20.1,0.65,-0.69,0,8.999,,0,4324,100,-100,0,0,0.7,,,0,0,5/14/2014,BD-06 1339 c,,,,,,,,,Ground,0,,,,
54,BD-08 2823,b,2,5.6,0.02,-0.02,0,,,,,42.09,2.67,-3.06,0,9.417,,0,4746,63,-63,0,0,0.74,0.07,-0.07,0,0,5/14/2014,BD-08 2823 b,,,,,,,,,Ground,0,,,,
55,BD-08 2823,c,2,237.6,1.5,-1.5,0,,,,,42.09,2.67,-3.06,0,9.417,,0,4746,63,-63,0,0,0.74,0.07,-0.07,0,0,5/14/2014,BD-08 2823 c,,,,,,,,,Ground,0,,,,
56,BD-10 3166,b,1,3.48777,0.00011,-0.00011,0,,,,,80,10,-10,0,9.772,,0,5393,,,0,0,1.01,,,,0,8/27/2014,BD-10 3166 b,,,,,,,,,Ground,0,,,,
57,BD-11 4672,b,1,1667,33,-31,0,,,,,27.3,,,0,9.379,,0,4475,100,-100,0,0,0.57,0.01,-0.01,0,0,1/8/2015,BD-11 4672 b,,,,,,,,,Ground,0,,,,
58,BD-13 2130,b,1,714.3,5.3,-5.3,0,,,,,766,,,0,9.6,,0,,,,,0,2.4,0.2,-0.2,0,0,5/14/2015,BD-13 2130 b,,,,,,,,,Ground,0,,,,
59,BD-17 63,b,1,655.6,0.6,-0.6,0,,,,,37.54,1.87,-2.08,0,9.111,,0,4714,93,-93,0,0,0.74,0.03,-0.03,0,0,5/14/2014,BD-17 63 b,,,,,,,,,Ground,0,,,,
60,CFBDSIR J145829+101343,b,1,10037.5,2737.5,-2737.5,0,,,,,23.1,2.4,-2.4,0,,,,580.5,24.5,-24.5,0,0,0.02,0.01,-0.01,0,0,5/14/2014,CFBDSIR J145829+101343 b,3337.1,1430.2,-1430.2,0,,,,,Ground,0,,,,
61,CHXR 73,b,1,,,,,,,,,,,,,,,,,,,,,0.35,,,0,0,5/14/2014,CHXR 73 b,3994.486,2662.991,-1664.369,0,,,,,Space,0,,,,
62,CT Cha,b,1,,,,,,,,,165,30,-30,0,,,,,,,,,,,,,,5/14/2014,CT Cha b,5403,1907,-1907,0,24.66,9.08,-6.73,0,Ground,0,,,,
63,CoRoT-1,b,1,1.5089557,0.0000064,-0.0000064,0,0.38,0.05,-0.05,0,,,,,,,,5950,150,-150,0,0,0.95,0.15,-0.15,0,0,5/14/2014,CoRoT-1 b,327.35,38.14,-38.14,0,16.7,0.9,-0.9,0,Space,0,,,,
64,CoRoT-10,b,1,13.2406,0.0002,-0.0002,0,3.7,0.83,-0.83,0,345,70,-70,0,,,,5075,75,-75,0,0,0.89,0.05,-0.05,0,0,5/14/2014,CoRoT-10 b,874,50.85,-50.85,0,10.87,0.78,-0.78,0,Space,0,,,,
65,CoRoT-11,b,1,2.99433,0.000011,-0.000011,0,0.99,0.15,-0.15,0,560,30,-30,0,,,,6440,120,-120,0,0,1.27,0.05,-0.05,0,0,5/14/2014,CoRoT-11 b,740.51,108.06,-108.06,0,16.03,0.34,-0.34,0,Space,0,,,,
66,CoRoT-12,b,1,2.828042,0.000013,-0.000013,0,0.411,0.129,-0.094,0,1150,85,-85,0,,,,5675,80,-80,0,0,1.08,0.08,-0.07,0,0,5/14/2014,CoRoT-12 b,291.438,22.247,-20.658,0,16.14,1.46,-1.46,0,Space,0,,,,
67,CoRoT-13,b,1,4.03519,0.00003,-0.00003,0,2.34,0.23,-0.23,0,1060,100,-100,0,,,,5945,90,-90,0,0,1.09,0.02,-0.02,0,0,5/14/2014,CoRoT-13 b,415.704,20.976,-20.976,0,9.92,0.157,-0.157,0,Space,0,,,,
68,CoRoT-14,b,1,1.51214,0.00013,-0.00013,0,7.3,1.5,-1.5,0,1340,110,-110,0,,,,6035,100,-100,0,0,1.13,0.09,-0.09,0,0,5/14/2014,CoRoT-14 b,2415.4,190.7,-190.7,0,12.22,0.78,-0.78,0,Space,0,,,,
69,CoRoT-16,b,1,5.35227,0.0002,-0.0002,0,0.44,0.21,-0.14,0,840,90,-90,0,,,,5650,100,-100,0,0,1.1,0.08,-0.08,0,0,5/14/2014,CoRoT-16 b,170.032,27.014,-26.379,0,13.11,1.79,-1.57,0,Space,0,,,,
70,CoRoT-17,b,1,3.7681,0.0003,-0.0003,0,2.82,0.38,-0.38,0,920,50,-50,0,,,,5740,80,-80,0,0,1.04,0.1,-0.1,0,0,5/14/2014,CoRoT-17 b,772.29,95.34,-95.34,0,11.43,0.78,-0.78,0,Space,0,,,,
71,CoRoT-18,b,1,1.9000693,0.0000028,-0.0000028,0,2.2,0.8,-0.8,0,870,90,-90,0,,,,5440,100,-100,0,0,0.95,0.15,-0.15,0,0,5/14/2014,CoRoT-18 b,1102.82,120.77,-120.77,0,14.68,2.02,-2.02,0,Space,0,,,,
72,CoRoT-19,b,1,3.89713,0.00002,-0.00002,0,0.71,0.06,-0.06,0,770,160,-160,0,,,,6090,70,-70,0,0,1.21,0.05,-0.05,0,0,5/14/2014,CoRoT-19 b,352.78,19.07,-19.07,0,14.46,0.34,-0.34,0,Space,0,,,,
73,CoRoT-2,b,1,1.7429935,0.000001,-0.000001,0,1.47,0.08,-0.074,0,200,,,0,,,,5625,120,-120,0,0,0.96,0.08,-0.08,0,0,5/14/2014,CoRoT-2 b,1102.82,69.92,-69.92,0,16.432,0.471,-0.493,0,Space,0,,,,
74,CoRoT-20,b,1,9.24285,0.0003,-0.0003,0,8.87,1.1,-1.1,0,1230,120,-120,0,,,,5880,90,-90,0,0,1.14,0.08,-0.08,0,0,5/14/2014,CoRoT-20 b,1347.54,73.1,-73.1,0,9.42,0.45,-0.45,0,Space,0,,,,
75,CoRoT-22,b,1,9.75598,0.00011,-0.00011,0,0.249,1,-0.097,0,592,25,-42,0,,,,5939,54,-120,0,0,1.1,0.05,-0.05,0,0,8/21/2014,CoRoT-22 b,12.2,14,-8.8,0,4.88,0.17,-0.39,0,Space,0,,,,
76,CoRoT-23,b,1,3.6313,0.0001,-0.0001,0,3,1.1,-1.1,0,600,50,-50,0,,,,5900,100,-100,0,0,1.14,0.08,-0.08,0,0,5/14/2014,CoRoT-23 b,889.9,95.3,-95.3,0,11.77,1.46,-1.46,0,Space,0,,,,
77,CoRoT-24,b,2,5.1134,0.0006,-0.0006,0,0.9,,,1,600,70,-70,0,,,,4950,150,-150,0,0,0.91,0.09,-0.09,0,0,6/11/2014,CoRoT-24 b,5.7,,,1,3.7,0.4,-0.4,0,Space,0,,,,
78,CoRoT-24,c,2,11.759,0.0063,-0.0063,0,1.3,0.5,-0.4,0,600,70,-70,0,,,,4950,150,-150,0,0,0.91,0.09,-0.09,0,0,6/11/2014,CoRoT-24 c,28,11,-11,0,5,0.5,-0.5,0,Space,0,,,,
79,CoRoT-25,b,1,4.86069,0.00006,-0.00006,0,0.15,0.15,-0.06,0,1000,85,-25,0,,,,6040,90,-90,0,0,1.09,0.11,-0.05,0,0,5/14/2014,CoRoT-25 b,85.81,12.71,-12.71,0,12.11,3.4,-1.12,0,Space,0,,,,
80,CoRoT-26,b,1,4.20474,0.00005,-0.00005,0,0.28,0.09,-0.07,0,1670,205,-110,0,,,,5590,100,-100,0,0,1.09,0.06,-0.06,0,0,5/14/2014,CoRoT-26 b,165.26,15.89,-15.89,0,14.12,1.46,-0.78,0,Space,0,,,,
81,CoRoT-27,b,1,3.57532,0.00006,-0.00006,0,12.6,1.92,-1.67,0,,,,,,,,5900,120,-120,0,0,1.05,0.11,-0.11,0,0,5/14/2014,CoRoT-27 b,3302.11,174.8,-174.8,0,11.287,0.493,-0.493,0,Space,0,,,,
82,CoRoT-28,b,1,5.20851,0.00038,-0.00038,0,0.69,0.27,-0.27,0,560,70,-70,0,,,,5150,100,-100,0,0,1.01,0.14,-0.14,0,0,4/16/2015,CoRoT-28 b,153.82972,27.65121,-27.65121,0,10.705,0.74,-0.74,0,Space,0,,,,
83,CoRoT-29,b,1,2.85057,0.000006,-0.000006,0,1.45,0.74,-0.74,0,765,50,-50,0,,,,5260,100,-100,0,0,0.97,0.14,-0.14,0,0,4/16/2015,CoRoT-29 b,270.1555,63.566,-63.566,0,10.088,1.793,-1.793,0,Space,0,,,,
84,CoRoT-3,b,1,4.2568,0.000005,-0.000005,0,26.4,5.6,-5.6,0,680,160,-160,0,,,,6740,140,-140,0,0,1.37,0.09,-0.09,0,0,5/14/2014,CoRoT-3 b,6883.91,317.8,-317.8,0,11.32,0.78,-0.78,0,Space,0,,,,
